name,points,weight,volume
knapsack,14151,21000,42000
item68,20,27,47
item819,28,24,77
item977,25,23,52
item329,19,28,66
item694,12,28,63
item107,16,34,66
item952,10,31,74
item247,25,24,56
item956,23,21,46
item645,18,23,77
item835,23,30,40
item571,18,29,55
item538,18,32,49
item223,12,25,64
item332,23,27,50
item129,29,37,72
item306,30,30,53
item775,17,36,49
item26,17,34,50
item392,18,37,58
item263,19,20,75
item579,22,31,72
item793,23,24,70
item577,13,40,67
item507,30,26,77
item618,16,23,73
item855,19,30,70
item109,29,26,63
item202,17,25,59
item351,19,25,45
item439,28,32,56
item432,15,22,65
item798,17,34,46
item702,16,25,63
item452,11,36,55
item493,15,24,61
item205,18,25,59
item333,14,34,52
item158,23,23,48
item695,14,39,60
item944,17,27,55
item955,15,24,40
item326,18,26,53
item839,22,36,78
item619,12,28,56
item264,15,30,40
item290,11,37,54
item340,11,34,58
item453,30,24,57
item139,24,38,70
item858,10,31,63
item455,22,22,46
item523,27,25,54
item465,26,33,43
item701,12,37,46
item279,29,29,45
item423,13,31,59
item780,23,36,70
item169,30,40,57
item191,30,39,76
item575,28,32,70
item294,18,31,77
item911,19,26,66
item949,18,29,57
item776,16,29,47
item229,27,35,68
item768,20,35,71
item560,24,36,51
item749,25,40,78
item882,30,32,46
item96,12,23,50
item174,13,38,42
item15,25,27,41
item617,19,36,62
item217,15,23,70
item712,25,24,70
item698,29,25,76
item883,12,23,55
item799,25,30,71
item708,28,28,59
item97,19,36,47
item95,25,32,69
item206,29,38,72
item639,23,27,47
item654,21,23,49
item181,10,35,74
item525,21,30,60
item661,27,40,73
item859,15,35,60
item421,25,22,68
item486,14,24,62
item469,26,26,54
item674,19,27,50
item363,25,22,72
item971,25,20,48
item830,25,31,66
item28,29,33,47
item946,22,24,70
item745,23,27,75
item287,24,37,46
item149,29,36,79
item161,21,39,80
item601,24,28,40
item609,17,33,74
item412,17,39,46
item824,21,35,42
item805,19,21,48
item986,11,20,66
item372,18,35,64
item221,23,25,60
item845,19,34,60
item516,17,31,50
item393,11,28,49
item281,14,25,55
item157,15,33,52
item1000,26,40,78
item259,29,25,56
item381,27,36,49
item216,25,30,79
item115,19,31,45
item168,13,38,72
item541,25,30,74
item711,15,37,52
item415,11,35,57
item864,28,20,51
item220,15,26,44
item604,28,22,50
item349,23,39,62
item850,23,36,47
item823,20,23,42
item116,20,32,64
item663,12,37,75
item132,14,20,71
item304,12,23,41
item979,12,34,53
item187,28,29,60
item433,23,21,55
item923,23,22,45
item112,26,37,57
item384,27,38,41
item999,14,25,42
item854,14,25,76
item713,22,32,60
item374,19,20,62
item1,22,29,64
item165,29,26,77
item173,13,30,77
item984,21,23,75
item190,29,25,47
item739,23,34,69
item131,22,39,70
item4,19,25,75
item831,24,30,72
item252,16,26,63
item895,26,28,57
item127,14,32,41
item814,17,31,51
item869,20,34,64
item769,12,31,64
item720,15,27,49
item848,10,28,65
item761,13,30,49
item545,21,37,44
item411,29,33,42
item779,28,24,74
item196,21,31,66
item771,16,38,49
item356,14,38,69
item912,12,20,42
item488,28,28,64
item569,29,31,61
item683,24,31,46
item383,22,26,50
item122,24,35,56
item17,29,37,61
item70,24,25,59
item731,23,35,45
item844,17,39,72
item658,24,32,46
item142,25,20,60
item239,10,21,71
item34,22,32,59
item537,20,27,46
item238,20,30,54
item387,22,27,57
item583,14,21,41
item7,23,29,66
item14,22,20,59
item851,13,29,71
item682,25,34,47
item360,30,22,71
item870,14,31,59
item258,11,38,77
item480,19,35,56
item278,22,39,48
item444,13,22,63
item837,23,20,75
item820,12,22,80
item565,25,25,80
item605,29,39,73
item208,15,36,77
item430,14,38,57
item36,11,31,69
item310,13,24,59
item175,13,36,56
item504,29,37,62
item303,26,28,60
item496,11,32,48
item467,29,26,77
item473,25,40,50
item648,20,20,46
item556,24,25,46
item10,17,21,41
item144,28,25,66
item44,30,39,58
item58,12,31,49
item334,13,28,78
item901,17,22,75
item197,29,34,40
item524,26,37,41
item963,28,32,69
item762,17,40,45
item41,17,25,55
item57,24,21,62
item817,11,22,62
item947,12,24,51
item540,29,33,49
item98,18,37,60
item231,28,33,44
item725,15,25,47
item816,30,21,57
item402,22,39,49
item985,19,29,50
item49,10,36,49
item182,20,22,49
item82,16,35,75
item637,11,34,73
item715,27,29,72
item104,17,27,76
item490,15,27,59
item732,26,28,66
item691,28,26,79
item909,29,39,50
item106,18,33,45
item754,17,21,53
item630,19,32,61
item117,14,38,42
item324,25,26,66
item339,13,22,50
item833,23,36,45
item707,18,24,66
item664,25,37,67
item167,23,28,66
item27,13,37,61
item83,17,27,61
item386,14,22,74
item86,12,30,43
item398,15,38,72
item331,26,32,64
item958,30,27,54
item314,24,31,41
item222,27,28,58
item920,25,26,42
item23,29,22,42
item890,18,28,79
item140,17,29,52
item170,29,31,64
item570,12,33,76
item9,15,26,50
item916,18,30,51
item431,12,23,74
item535,21,39,56
item224,24,21,63
item215,12,24,55
item479,22,31,42
item45,25,37,43
item357,17,21,73
item162,23,36,73
item625,27,33,79
item226,11,26,68
item298,24,29,41
item657,27,25,64
item101,24,28,41
item378,14,30,70
item866,17,29,60
item887,11,27,63
item51,28,29,63
item969,16,29,52
item246,14,22,51
item135,19,35,77
item48,29,36,66
item667,21,22,59
item763,23,31,59
item627,25,37,55
item401,30,29,51
item35,12,25,75
item544,13,27,72
item137,16,29,65
item102,22,34,79
item670,13,35,59
item145,12,25,41
item371,11,28,54
item681,20,29,78
item428,28,25,56
item189,18,23,59
item818,24,35,54
item931,12,38,47
item638,28,38,63
item343,25,36,58
item180,13,30,49
item193,13,34,58
item588,22,24,78
item296,30,39,43
item784,16,21,47
item600,22,33,57
item908,27,29,63
item403,16,35,69
item647,25,25,51
item345,29,28,55
item141,25,36,53
item945,23,40,44
item643,10,20,66
item399,12,24,51
item485,14,40,48
item2,15,26,63
item803,17,33,43
item836,22,34,77
item376,22,23,44
item449,25,39,76
item240,19,21,58
item884,14,40,52
item390,11,22,77
item379,24,22,41
item843,27,27,60
item988,18,28,42
item352,18,33,43
item967,27,35,69
item924,18,36,63
item121,17,27,49
item61,18,33,57
item953,12,27,41
item133,11,29,42
item736,20,34,77
item437,18,21,77
item151,12,30,47
item900,24,35,41
item130,25,22,65
item865,28,26,79
item898,14,39,49
item527,18,34,45
item728,18,31,53
item461,16,23,65
item972,19,34,47
item559,19,29,54
item154,13,30,51
item266,12,22,66
item425,26,21,61
item693,23,22,73
item65,22,28,42
item631,26,28,73
item729,17,33,73
item236,21,30,73
item740,14,35,59
item244,21,31,75
item680,13,20,63
item813,16,22,41
item724,19,22,68
item477,23,31,65
item418,17,26,68
item974,18,33,47
item678,28,40,66
item568,27,24,62
item233,29,38,71
item613,19,36,54
item764,11,23,64
item416,15,40,44
item881,10,33,46
item476,17,20,44
item574,23,24,49
item610,29,34,51
item940,24,31,73
item622,17,34,62
item942,28,27,58
item650,20,22,78
item292,22,33,62
item875,30,25,49
item114,15,36,61
item782,17,38,47
item770,20,29,72
item921,24,35,66
item254,16,35,41
item812,12,33,80
item703,27,22,72
item976,15,30,63
item269,16,38,57
item78,28,29,56
item219,28,28,68
item688,20,27,69
item380,16,25,46
item788,13,30,56
item675,28,30,42
item361,11,23,41
item75,18,39,51
item960,22,20,62
item841,29,22,70
item662,19,26,52
item474,28,30,42
item457,16,36,54
item585,12,28,80
item200,24,22,47
item641,13,40,77
item810,25,39,51
item305,16,31,60
item521,30,33,69
item998,17,29,68
item954,18,37,50
item328,19,26,69
item241,18,24,57
item821,20,24,73
item700,15,36,43
item156,16,20,43
item123,20,32,71
item536,25,34,53
item427,27,36,64
item375,29,30,75
item94,16,34,47
item113,12,31,78
item660,27,26,69
item47,29,26,75
item212,12,21,62
item526,17,22,61
item888,18,28,46
item746,11,23,66
item904,16,28,59
item257,26,25,62
item62,12,21,74
item917,14,32,49
item668,13,40,78
item313,23,31,74
item265,17,24,49
item91,27,23,57
item614,27,24,41
item867,10,33,69
item105,30,31,40
item546,12,30,45
item987,14,32,66
item341,14,25,76
item651,12,32,67
item472,23,24,68
item460,15,21,40
item727,29,35,77
item876,28,39,54
item512,26,21,48
item344,14,25,61
item696,11,28,70
item548,16,38,65
item801,17,32,48
item846,23,21,64
item616,15,30,77
item811,16,32,43
item561,19,36,64
item407,11,24,70
item243,25,33,70
item484,10,21,70
item155,11,28,68
item886,29,27,67
item447,22,23,73
item676,13,29,54
item755,19,33,43
item250,19,38,79
item73,23,27,70
item293,24,28,57
item686,16,25,74
item11,20,31,41
item38,29,30,72
item765,10,39,78
item13,10,31,64
item338,13,29,51
item413,23,28,70
item511,13,25,67
item510,13,37,41
item840,23,32,76
item791,18,29,75
item22,29,38,63
item905,28,25,80
item422,12,38,74
item111,24,28,63
item462,13,32,60
item466,22,37,54
item806,12,25,56
item874,24,31,48
item800,21,22,76
item143,18,38,57
item482,10,32,52
item760,25,33,57
item6,27,32,73
item100,13,38,42
item74,26,30,53
item385,24,33,49
item253,26,26,79
item499,11,24,55
item150,15,34,57
item981,24,20,66
item367,29,23,63
item737,28,22,56
item408,22,21,60
item849,28,35,61
item382,20,31,75
item90,20,33,63
item391,25,38,73
item234,28,21,53
item809,17,35,41
item124,14,24,64
item576,27,22,71
item487,29,36,53
item692,19,30,73
item441,17,27,51
item456,23,28,49
item808,13,33,57
item342,19,38,62
item747,17,39,78
item364,22,32,51
item980,27,36,77
item514,21,36,50
item186,19,35,53
item172,26,34,67
item146,26,20,54
item451,19,39,51
item12,29,27,70
item67,24,32,69
item509,28,35,73
item320,11,39,70
item847,12,34,41
item860,21,32,47
item584,27,23,68
item966,20,23,52
item522,30,25,52
item868,16,33,54
item463,26,36,57
item291,24,20,49
item983,27,23,77
item53,21,35,48
item136,18,33,58
item943,20,29,50
item748,14,20,73
item992,13,33,43
item599,25,38,46
item586,11,24,53
item138,10,27,76
item8,15,30,41
item103,19,28,73
item31,19,30,74
item961,22,26,41
item43,25,28,52
item502,19,28,58
item271,23,24,65
item933,23,25,72
item255,19,23,49
item964,12,29,47
item679,21,39,67
item634,11,28,49
item655,17,21,63
item284,22,26,64
item973,17,26,76
item72,29,30,69
item92,16,38,57
item348,16,40,67
item834,14,28,73
item429,22,34,71
item871,23,28,65
item927,15,38,52
item89,19,23,44
item315,25,36,62
item285,13,39,40
item936,16,33,54
item434,20,22,49
item797,28,26,52
item534,25,33,47
item232,14,36,62
item362,25,27,43
item20,23,29,50
item64,27,37,63
item336,24,20,60
item722,30,23,67
item937,12,27,77
item777,14,24,67
item33,24,36,61
item29,19,23,68
item201,21,24,74
item716,23,24,79
item827,16,26,44
item807,21,38,58
item595,15,27,54
item126,23,26,48
item751,16,29,77
